Colour Code,Colour Title,,
ALLBlack,ALL Balck,,
ALLNavy,ALL Navy,,
Assorted,Assorted,,
Azu-Fren,Azure-French Navy,,
Azu-Nav,Azure-Navy,,
Azure,Azure,,
Black,Black,,
Bl-Blue,Bleach Blue,,
Blk,Black,,
Blu,Blue,,
Blue,Blue,,
Blue Marle,Blue Marle,,
BlueGNW,BlueGreyNavyWhite,,
BNW,Blue-Navy-White,,
Bone,Bone,,
Bot,Bottle,,
Bottle,Bottle,,
BurgundCom,Burgundy Combo,,
BWStr,Blue-White-Stripe,,
ChamBlu,Chambray Blue,,
Charcoal,Charcoal,,
Check,Check,,
Clear,Clear,,
CobaltBlue,Cobalt Blue,,
Cornflower,Cornflower,,
Diesel,Diesel,,
D-Indigo,Dark Indigo,,
Eme,Emerald,,
Emerald,Emerald,,
EmeWStr,Emerald-White-Stripe,,
ENW,Emeral-Navy-White,,
Fluro Pink,Pink,,
Fos-Fren,Fossil-French Navy,,
Fos-Navy,Fossil-Navy,,
Fossil,Fossil,,
Fren,FrenNavy - Emerald,,
Fren Navy,French Navy,,
French Navy,French Navy,,
Fren/Fusch,FrenNavy - Fuschia,,
Fuschia,Fuschia,,
GBY,Grey-Bottle-Yellow,,
green,Green,,
GreenGNW,GreenGreyNavyWhite,,
Grey,Grey,,
Grey Marle,Grey Marle,,
GreyMarl,Grey Marl,,
GWStr,Green-White-Stripe,,
HotPink,Hot-Pink,,
Ink Navy,Ink Navy,,
Jade,Jade,,
Khaki,Khaki,,
LightBlue,Light Blue,,
Maroon,Maroon,,
Gld,Gold,,
Gold,Gold,,
Moss,Moss,,
MulColour,Multiple Colour,,
Nav,Navy,,
Whi,White,,
White,White,,
NavWStr,Navy-White-Stripe,,
Navy,Navy,,
NavyCom,Navy Combo,,
NWChk,Navy-White-Check,,
NWStr,Navy-White-Stripe,,
Och,Ochre,,
Ochre,Ochre,,
Olive,Olive,,
Ora,Orange,,
Orange,Orange,,
Pin,Pink,,
Pink,Pink,,
PkWStr,Pink-White-Stripe,,
PPWStr,Purple-White-Stripe,,
Purp/FrNav,Purple / French Navy,,
Purple,Purple,,
Red,Red,,
Red-Fren,Red-French Navy,,
RedGNW,RedGreyNavyWhite,,
Red-Nav,Red-Navy,,
RNW,Red-Navy-White,,
RoyWhiChk,Royal-White-Check,,
RoyWhiStr,Royal-White-Stripe,,
RWStr,Red-White-Stripe,,
Salute,Salute,,
San,Sand,,
Sand,Sand,,
Saxe Blue,Saxe Blue,,
Silver,Silver,,
SNW,Safari-Navy-White,,
Stone,Stone,,
VintaGrey,Vintage Grey,,
Watermelon,Watermelon,,
Wat-Nav,Watermelon-Navy,,
Wheat,Wheat,,
Whi/Burg,White/Burgundy,,
Whi/Nav,White/Navy,,
Whi-Fren,White-French Navy,,
Whi-Nav,White-Navy,,
White,White,,
WhiteCom,White Combo,,
YBR,Yellow-Black-Red,,
Yel,Yellow,,
Yellow,Yellow,,
