Client,Style,Fabric usage,pcs/carton,volume,weight,material
ABF,MU55,2,18,0.06,8,"65% Polyester / 33% Cotton / 2% Lycra, 32x32+40D 130x70, 150gsm, Huntsman Hydrophilic"
ABF,FU41,2,18,0.06,8,"65% Polyester / 33% Cotton / 2% Lycra, 32x32+40D 130x70, 150gsm, Huntsman Hydrophilic"
ABF,MU54,1.75,18,0.06,8,"65% Polyester / 33% Cotton / 2% Lycra, 32x32+40D 130x70, 150gsm, Huntsman Hydrophilic"
ABF,FU40,1.75,18,0.06,8,"65% Polyester / 33% Cotton / 2% Lycra, 32x32+40D 130x70, 150gsm, Huntsman Hydrophilic"
ABF,MU41,2,10,0.189,13,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
ABF,MU50,1.58,20,0.06,8,65% Polyester / 35% Cotton 136x72 / 45x45 115gsm  
ABF,MU51,,18,0.06,,100% Cotton Mini Twill, 130x70 / 32sx32s 150gsm
ABF,MU52,1.85,20,0.06,8,65% Polyester / 35% Cotton 136x72 / 45x45 115gsm  
ABF,MU53,,18,0.06,,100% Cotton Mini Twill, 130x70 / 32sx32s 150gsm
ABF,FU27,2,10,0.189,12,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
ABF,FU30,,20,0.06,8,"54.1% Polyester / 44% Wool / 1.4% Lycra / 5% Antistatic Fibre Plain Weave Weft Stretch Anti Static 30s/2x30s/2, 43x40, 240gsm, 150cm"
ABF,FU36,1.49,20,0.06,8,65% Polyester / 35% Cotton 136x72 / 45x45 115gsm  
ABF,FU37,1.58,20,0.06,8,100% Cotton Mini Twill, 130x70 / 32sx32s 150gsm
ABF,FU38,1.75,20,0.06,8,65% Polyester / 35% Cotton 136x72 / 45x45 115gsm  
ABF,FU39,1.85,20,0.06,8,100% Cotton Mini Twill, 130x70 / 32sx32s 150gsm
ABF,UA39,,50,0.0555,12,100% Polyester Warp Knit
ABF,UU50,,30,0.06,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
ABF,UU52,,30,0.06,13,"52% Cotton Back / 48% Polyester Face, 170/180 gsm, Mesh Polyester Face in Cool Dry Yarn / Cotton Back with Hydrophilic finish."
ABF,UU54,,10,0.06,,"201D Nylon Oxford with PU coating, 300g/M2*24HRS "
ACIC,Spray Jacket,,10,0.06,,"201D Nylon Oxford with PU coating, 300g/M2*24HRS "
ABF,UU53,,35,0.04725,,100% Cotton Jersey 180gsm 
ABF,UU55,,10,0.07,,PU with Polyester knitted backing EN471
ABF,UU57,,8,0.06,8.5,Polyester soft shell with micro polar fleece inner and bonded with PTFE membrane
ABF,UU63,,7,0.06,9,Polyester soft shell with micro polar fleece inner and bonded with PTFE membrane
ABF,UU73,,50,0.06,,"100% Cotton twill, 20x16 / 128x60, 230gsm"
ABF,UU77,2.15,25,0.06,,"100% Cotton Mini Twill, 130x70 / 32sx32s 150gsm"
ABF,UU74,,25,0.06,,"100% Cotton Mini Twill, 130x70 / 32sx32s 150gsm"
ABF,UA78,,40,0.0324,6.5,100% Polyester Warp Knit
ABF,UL30,,20,0.06,,"100% Cotton twill, 20x16 / 128x60, 230gsm"
ABF,UL32,,20,0.0456,,PU with Polyester knitted backing EN471
ABF,UL33,,25,0.06,,"100% Cotton twill, 20x16 / 128x60, 230gsm"
